Corrida 0 
600 0.004456800001207739 2880000 
800 0.007993200000782963 5120000 
1000 0.014876799999910872 8000000 
2000 0.10227880000093137 32000000 
5000 1.2307666999986395 200000000 
10000 9.619183800001338 800000000 

Corrida 3 
2 0.027985400000034133 32 
4 9.099999806494452e-05 128 
10 2.9099999665049836e-05 800 
15 2.3799999326001853e-05 1800 
20 5.619999865302816e-05 3200 
30 4.579999949783087e-05 7200 
35 0.00011029999950551428 9800 
40 8.639999941806309e-05 12800 
45 0.00011169999925186858 16200 
50 0.00011109999832115136 20000 
55 0.00011759999688365497 24200 
60 0.0001297999988310039 28800 
65 0.00018590000036056153 33800 
80 0.00018569999883766286 51200 
100 0.0002252000012958888 80000 
150 0.0003366999990248587 180000 
170 0.0003887999992002733 231200 
200 0.000455000001238659 320000 
250 0.0006518000009236857 500000 
400 0.0013281999999890104 1280000 
500 0.0020812999973713886 2000000 
600 0.004567200001474703 2880000 
800 0.008196099999622675 5120000 
1000 0.014738400001078844 8000000 
2000 0.1155295999997179 32000000 
5000 1.6222998000012012 200000000 
10000 9.764572500000213 800000000 

Corrida 4 
2 0.03182999999989988 32 
4 0.00012860000060754828 128 
10 4.529999932856299e-05 800 
15 4.280000212020241e-05 1800 
20 8.110000271699391e-05 3200 
30 7.080000068526715e-05 7200 
35 0.00018080000154441223 9800 
40 0.00015839999832678586 12800 
45 0.00013310000213095918 16200 
50 0.00012680000145337544 20000 
55 0.0001253000009455718 24200 
60 0.0001432999997632578 28800 
65 0.0004011999990325421 33800 
80 0.00021439999909489416 51200 
100 0.0002536000029067509 80000 
150 0.0003493000003800262 180000 
170 0.0004248999975970946 231200 
200 0.0005048999992141034 320000 
250 0.0007136999993235804 500000 
400 0.0015959000011207536 1280000 
500 0.0030167000004439615 2000000 
600 0.0047501999979431275 2880000 
800 0.007873599999584258 5120000 
1000 0.01923710000119172 8000000 
2000 0.1232447999973374 32000000 
5000 1.4322439999996277 200000000 
10000 8.860919700000522 800000000 

Corrida 5 
2 0.03388940000149887 32 
4 9.59999997576233e-05 128 
10 3.529999958118424e-05 800 
15 2.9599999834317714e-05 1800 
20 6.690000009257346e-05 3200 
30 5.759999839938246e-05 7200 
35 0.00013029999900027178 9800 
40 0.00011559999984456226 12800 
45 0.00010879999899771065 16200 
50 0.00018650000129127875 20000 
55 0.0001334000007773284 24200 
60 0.00013449999823933467 28800 
65 0.0001871999993454665 33800 
80 0.00018339999951422215 51200 
100 0.00023660000078962184 80000 
150 0.0003630999999586493 180000 
170 0.0004029000010632444 231200 
200 0.00047980000090319663 320000 
250 0.000706200000422541 500000 
400 0.0015978000010363758 1280000 
500 0.002777800000330899 2000000 
600 0.0048414000011689495 2880000 
800 0.009032300000399118 5120000 
1000 0.013415699999313802 8000000 
2000 0.09954780000043684 32000000 
5000 1.532591200000752 200000000 
10000 9.904316799998924 800000000 

Corrida 6 
2 0.03247890000056941 32 
4 8.809999781078659e-05 128 
10 3.729999662027694e-05 800 
15 3.060000017285347e-05 1800 
20 6.100000246078707e-05 3200 
30 5.4299998737405986e-05 7200 
35 0.00018659999841474928 9800 
40 0.0001750999981595669 12800 
45 0.00014399999781744555 16200 
50 0.00012179999976069666 20000 
55 0.0001426999988325406 24200 
60 0.00013129999933880754 28800 
65 0.00017999999909079634 33800 
80 0.00019080000129179098 51200 
100 0.0002336999968974851 80000 
150 0.0003766000008909032 180000 
170 0.00042190000021946616 231200 
200 0.0006518999980471563 320000 
250 0.0008875999992596917 500000 
400 0.0017381999969074968 1280000 
500 0.002739200001087738 2000000 
600 0.004805500000657048 2880000 
800 0.00888190000114264 5120000 
1000 0.014702899999974761 8000000 
2000 0.11387390000163577 32000000 
5000 1.4661720000003697 200000000 
10000 9.840034900000319 800000000 

Corrida 7 
2 0.0311318999993091 32 
4 9.589999899617396e-05 128 
10 3.300000025774352e-05 800 
15 2.8299997211433947e-05 1800 
20 6.370000119204633e-05 3200 
30 5.400000009103678e-05 7200 
35 0.00012399999832268804 9800 
40 0.00011219999942113645 12800 
45 0.00011500000255182385 16200 
50 0.00010759999713627622 20000 
55 0.00012739999874611385 24200 
60 0.00012460000289138407 28800 
65 0.0002013000012084376 33800 
80 0.00023070000315783545 51200 
100 0.00027830000180983916 80000 
150 0.00039029999970807694 180000 
170 0.0004110999980184715 231200 
200 0.0004662000028474722 320000 
250 0.0006395000018528663 500000 
400 0.0013092000008327886 1280000 
500 0.002252899997984059 2000000 
600 0.00397280000106548 2880000 
800 0.00709869999991497 5120000 
1000 0.012194499999168329 8000000 
2000 0.1096322000012151 32000000 
5000 1.3714183000010962 200000000 
10000 9.803885799999989 800000000 

Corrida 8 
2 0.041117700002359925 32 
4 0.00010600000314298086 128 
10 4.2000003304565325e-05 800 
15 3.80000019504223e-05 1800 
20 8.010000237845816e-05 3200 
30 7.199999890872277e-05 7200 
35 0.0001658000001043547 9800 
40 0.0001460999992559664 12800 
45 0.00015659999917261302 16200 
50 0.00014960000044084154 20000 
55 0.0001722999986668583 24200 
60 0.00017289999959757552 28800 
65 0.0002362000013818033 33800 
80 0.00025180000011459924 51200 
100 0.0003015000002051238 80000 
150 0.0004668000001402106 180000 
170 0.0005332000000635162 231200 
200 0.0006452999987232033 320000 
250 0.000947600001381943 500000 
400 0.0019804000003205147 1280000 
500 0.0038081999991845805 2000000 
600 0.005836299998918548 2880000 
800 0.010826300000189804 5120000 
1000 0.021087200002511963 8000000 
2000 0.15693100000135018 32000000 
5000 1.7642223999973794 200000000 
10000 10.738499899998715 800000000 

Corrida 9 
2 0.03172509999785689 32 
4 9.690000297268853e-05 128 
10 3.449999712756835e-05 800 
15 2.8200000087963417e-05 1800 
20 6.470000153058209e-05 3200 
30 5.569999848376028e-05 7200 
35 0.00013219999891589396 9800 
40 0.00011209999865968712 12800 
45 0.00010939999992842786 16200 
50 0.00011499999891384505 20000 
55 0.0001247000000148546 24200 
60 0.00012910000077681616 28800 
65 0.00021120000019436702 33800 
80 0.00017970000044442713 51200 
100 0.00022280000121099874 80000 
150 0.0003405999996175524 180000 
170 0.0005372999985411298 231200 
200 0.0005133999984536786 320000 
250 0.0007390999999188352 500000 
400 0.0016520999997737817 1280000 
500 0.002673700000741519 2000000 
600 0.004440600001544226 2880000 
800 0.009004400002595503 5120000 
1000 0.01771580000058748 8000000 
2000 0.10852460000023711 32000000 
5000 1.2887593999985256 200000000 
10000 8.421795800000837 800000000 

FINAL 
